sample_id,timestamp,total_cpu_millicores,total_memory_mib
1,2026-09-09T03:20:18.851080,466.0,3174.0
2,2026-09-09T03:20:23.985812,460.0,3178.0
3,2026-09-09T03:20:29.113368,460.0,3178.0
4,2026-09-09T03:20:34.253358,460.0,3178.0
5,2026-09-09T03:20:39.398288,421.0,3187.0
6,2026-09-09T03:20:44.528431,421.0,3187.0
7,2026-09-09T03:20:49.666966,446.0,3261.0
8,2026-09-09T03:20:54.805502,446.0,3261.0
9,2026-09-09T03:20:59.954032,446.0,3261.0
10,2026-09-09T03:21:05.082638,385.0,3184.0
11,2026-09-09T03:21:10.215179,385.0,3184.0
12,2026-09-09T03:21:15.351590,385.0,3184.0
13,2026-09-09T03:21:20.501615,565.0,3184.0
14,2026-09-09T03:21:25.643539,565.0,3184.0
15,2026-09-09T03:21:30.774449,565.0,3184.0
16,2026-09-09T03:21:35.920103,612.0,3263.0
17,2026-09-09T03:21:41.072681,612.0,3263.0
18,2026-09-09T03:21:46.214867,612.0,3263.0
19,2026-09-09T03:21:51.352890,529.0,3263.0
20,2026-09-09T03:21:56.516679,529.0,3263.0
21,2026-09-09T03:22:01.651267,529.0,3263.0
22,2026-09-09T03:22:06.791771,436.0,3242.0
23,2026-09-09T03:22:11.927091,436.0,3242.0
24,2026-09-09T03:22:17.065442,436.0,3242.0
25,2026-09-09T03:22:22.199951,317.0,3190.0
26,2026-09-09T03:22:27.341082,317.0,3190.0
27,2026-09-09T03:22:32.474108,317.0,3190.0
28,2026-09-09T03:22:37.607303,429.0,3202.0
29,2026-09-09T03:22:42.743166,429.0,3202.0
30,2026-09-09T03:22:47.872471,429.0,3202.0
