sample_id,timestamp,workload_cpu_millicores,workload_memory_mib,panoptes_cpu_millicores,panoptes_memory_mib,total_cluster_cpu_millicores,total_cluster_memory_mib
1,2026-09-09T03:43:53.902827,492.0,3170.0,84.0,1138.0,576.0,4308.0
2,2026-09-09T03:43:59.167548,492.0,3170.0,84.0,1138.0,576.0,4308.0
3,2026-09-09T03:44:04.428581,492.0,3170.0,84.0,1138.0,576.0,4308.0
4,2026-09-09T03:44:09.693383,369.0,3214.0,69.0,1163.0,438.0,4377.0
5,2026-09-09T03:44:14.953388,369.0,3214.0,69.0,1163.0,438.0,4377.0
6,2026-09-09T03:44:20.269004,369.0,3214.0,73.0,1176.0,442.0,4390.0
7,2026-09-09T03:44:25.532722,453.0,3208.0,73.0,1176.0,526.0,4384.0
8,2026-09-09T03:44:30.800021,453.0,3208.0,73.0,1176.0,526.0,4384.0
9,2026-09-09T03:44:36.096009,399.0,3184.0,82.0,1187.0,481.0,4371.0
10,2026-09-09T03:44:41.360420,399.0,3184.0,82.0,1187.0,481.0,4371.0
11,2026-09-09T03:44:46.634421,399.0,3184.0,82.0,1187.0,481.0,4371.0
12,2026-09-09T03:44:51.890277,526.0,3225.0,69.0,1188.0,595.0,4413.0
13,2026-09-09T03:44:57.149829,526.0,3225.0,69.0,1188.0,595.0,4413.0
14,2026-09-09T03:45:02.419857,526.0,3225.0,69.0,1188.0,595.0,4413.0
15,2026-09-09T03:45:07.675021,532.0,3239.0,81.0,1203.0,613.0,4442.0
16,2026-09-09T03:45:12.945663,532.0,3239.0,81.0,1203.0,613.0,4442.0
17,2026-09-09T03:45:18.212162,532.0,3239.0,81.0,1203.0,613.0,4442.0
18,2026-09-09T03:45:23.472540,536.0,3295.0,82.0,1208.0,618.0,4503.0
19,2026-09-09T03:45:28.769430,536.0,3295.0,82.0,1208.0,618.0,4503.0
20,2026-09-09T03:45:34.039094,536.0,3295.0,82.0,1208.0,618.0,4503.0
21,2026-09-09T03:45:39.327579,438.0,3249.0,91.0,1211.0,529.0,4460.0
22,2026-09-09T03:45:44.590649,438.0,3249.0,91.0,1211.0,529.0,4460.0
23,2026-09-09T03:45:49.851410,438.0,3249.0,91.0,1211.0,529.0,4460.0
24,2026-09-09T03:45:55.112537,440.0,3299.0,90.0,1224.0,530.0,4523.0
25,2026-09-09T03:46:00.395496,440.0,3299.0,90.0,1224.0,530.0,4523.0
26,2026-09-09T03:46:05.672486,500.0,3125.0,80.0,1225.0,580.0,4350.0
27,2026-09-09T03:46:10.936205,500.0,3125.0,80.0,1225.0,580.0,4350.0
28,2026-09-09T03:46:16.199551,500.0,3125.0,80.0,1225.0,580.0,4350.0
29,2026-09-09T03:46:21.464629,610.0,3214.0,79.0,1245.0,689.0,4459.0
30,2026-09-09T03:46:26.734954,610.0,3214.0,79.0,1245.0,689.0,4459.0
