trial_id,scenario,ground_truth,diagnosed_target,t0_epoch,mttdiag_seconds,accuracy,censored
1,panoptes,shipping,cart,2026-09-09T04:08:03Z,247.1,0,False
2,panoptes,shipping,cart,2026-09-09T04:12:31Z,28.26,0,False
3,panoptes,shipping,cart,2026-09-09T04:13:20Z,33.27,0,False
4,panoptes,currency,currency,2026-09-09T04:14:14Z,15.6,1,False
5,panoptes,shipping,cart,2026-09-09T04:14:50Z,42.85,0,False
6,panoptes,cart,cart,2026-09-09T04:15:54Z,28.5,1,False
7,panoptes,currency,payment,2026-09-09T04:16:43Z,28.27,0,False
8,panoptes,shipping,inconclusive,2026-09-09T04:17:32Z,300.0,0,True
9,panoptes,shipping,inconclusive,2026-09-09T04:22:55Z,300.0,0,True
10,panoptes,payment,payment,2026-09-09T04:28:17Z,46.13,1,False
11,panoptes,currency,inconclusive,2026-09-09T04:29:24Z,300.0,0,True
12,panoptes,cart,inconclusive,2026-09-09T04:34:46Z,300.0,0,True
13,panoptes,shipping,payment,2026-09-09T04:40:08Z,122.97,0,False
14,panoptes,payment,payment,2026-09-09T04:42:32Z,28.16,1,False
15,panoptes,cart,cart,2026-09-09T04:43:21Z,19.51,1,False
16,panoptes,shipping,shipping,2026-09-09T04:44:01Z,28.45,1,False
17,panoptes,currency,shipping,2026-09-09T04:44:50Z,32.8,0,False
18,panoptes,shipping,inconclusive,2026-09-09T04:45:44Z,300.0,0,True
19,panoptes,currency,payment,2026-09-09T04:51:06Z,23.76,0,False
20,panoptes,payment,payment,2026-09-09T04:51:50Z,72.78,1,False
21,panoptes,payment,payment,2026-09-09T04:53:24Z,28.39,1,False
22,panoptes,shipping,inconclusive,2026-09-09T04:54:13Z,300.0,0,True
23,panoptes,cart,inconclusive,2026-09-09T04:59:35Z,300.0,0,True
24,panoptes,cart,inconclusive,2026-09-09T05:04:57Z,300.0,0,True
25,panoptes,currency,payment,2026-09-09T05:10:19Z,127.04,0,False
26,panoptes,payment,payment,2026-09-09T05:12:47Z,45.93,1,False
27,panoptes,currency,currency,2026-09-09T05:13:53Z,19.66,1,False
28,panoptes,currency,payment,2026-09-09T05:14:34Z,10.4,0,False
29,panoptes,currency,currency,2026-09-09T05:15:05Z,15.14,1,False
30,panoptes,currency,shipping,2026-09-09T05:15:41Z,19.5,0,False
