trial_id,scenario,ground_truth,diagnosed_target,t0_epoch,mttdiag_seconds,accuracy,censored
1,panoptes-4b,currency,currency,2026-09-09T05:17:06Z,37.61,1,False
2,panoptes-4b,cart,cart,2026-09-09T05:18:04Z,28.44,1,False
3,panoptes-4b,shipping,cart,2026-09-09T05:18:53Z,10.58,0,False
4,panoptes-4b,currency,inconclusive,2026-09-09T05:19:25Z,300.0,0,True
5,panoptes-4b,currency,inconclusive,2026-09-09T05:24:47Z,300.0,0,True
6,panoptes-4b,payment,inconclusive,2026-09-09T05:30:10Z,300.0,0,True
7,panoptes-4b,shipping,inconclusive,2026-09-09T05:35:33Z,300.0,0,True
8,panoptes-4b,payment,payment,2026-09-09T05:40:55Z,104.98,1,False
9,panoptes-4b,cart,cart,2026-09-09T05:43:01Z,19.67,1,False
10,panoptes-4b,payment,payment,2026-09-09T05:43:42Z,28.38,1,False
11,panoptes-4b,cart,cart,2026-09-09T05:44:31Z,41.86,1,False
12,panoptes-4b,cart,inconclusive,2026-09-09T05:45:33Z,300.0,0,True
13,panoptes-4b,shipping,inconclusive,2026-09-09T05:50:58Z,300.0,0,True
14,panoptes-4b,currency,inconclusive,2026-09-09T05:56:22Z,300.0,0,True
15,panoptes-4b,shipping,inconclusive,2026-09-09T06:01:44Z,300.0,0,True
16,panoptes-4b,cart,inconclusive,2026-09-09T06:07:04Z,300.0,0,True
17,panoptes-4b,shipping,cart,2026-09-09T06:12:29Z,19.83,0,False
18,panoptes-4b,currency,currency,2026-09-09T06:13:09Z,24.23,1,False
19,panoptes-4b,payment,payment,2026-09-09T06:13:54Z,38.04,1,False
20,panoptes-4b,shipping,shipping,2026-09-09T06:14:53Z,37.47,1,False
21,panoptes-4b,shipping,shipping,2026-09-09T06:15:52Z,28.44,1,False
22,panoptes-4b,currency,currency,2026-09-09T06:16:41Z,32.66,1,False
23,panoptes-4b,cart,cart,2026-09-09T06:17:34Z,19.49,1,False
24,panoptes-4b,currency,currency,2026-09-09T06:18:14Z,77.3,1,False
25,panoptes-4b,payment,payment,2026-09-09T06:19:52Z,50.85,1,False
26,panoptes-4b,cart,cart,2026-09-09T06:21:04Z,86.6,1,False
27,panoptes-4b,payment,inconclusive,2026-09-09T06:22:51Z,300.0,0,True
28,panoptes-4b,currency,inconclusive,2026-09-09T06:28:13Z,300.0,0,True
29,panoptes-4b,currency,inconclusive,2026-09-09T06:33:36Z,300.0,0,True
30,panoptes-4b,cart,currency,2026-09-09T06:38:58Z,239.14,0,False
