trial_id,scenario,ground_truth,diagnosed_target,t0_epoch,mttdiag_seconds,accuracy,censored
1,panoptes,payment,payment,2026-09-08T05:17:04Z,10.37,1,False
2,panoptes,cart,cart,2026-09-08T05:17:35Z,26.63,1,False
3,panoptes,shipping,payment,2026-09-08T05:18:22Z,67.53,0,False
4,panoptes,cart,payment,2026-09-08T05:19:49Z,50.99,0,False
5,panoptes,shipping,inconclusive,2026-09-08T05:21:01Z,300.0,0,True
6,panoptes,cart,inconclusive,2026-09-08T05:26:24Z,300.0,0,True
7,panoptes,currency,inconclusive,2026-09-08T05:31:48Z,300.0,0,True
8,panoptes,cart,inconclusive,2026-09-08T05:37:11Z,300.0,0,True
9,panoptes,shipping,payment,2026-09-08T05:42:35Z,201.65,0,False
10,panoptes,payment,cart,2026-09-08T05:46:17Z,10.3,0,False
11,panoptes,payment,payment,2026-09-08T05:46:47Z,10.29,1,False
12,panoptes,payment,payment,2026-09-08T05:47:18Z,10.3,1,False
13,panoptes,cart,payment,2026-09-08T05:47:49Z,10.31,0,False
14,panoptes,shipping,inconclusive,2026-09-08T05:48:19Z,300.0,0,True
15,panoptes,shipping,inconclusive,2026-09-08T05:53:43Z,300.0,0,True
16,panoptes,cart,inconclusive,2026-09-08T05:59:06Z,300.0,0,True
17,panoptes,cart,inconclusive,2026-09-08T06:04:30Z,300.0,0,True
18,panoptes,currency,inconclusive,2026-09-08T06:09:54Z,300.0,0,True
19,panoptes,payment,payment,2026-09-08T06:15:17Z,46.74,1,False
20,panoptes,shipping,payment,2026-09-08T06:16:24Z,14.28,0,False
21,panoptes,payment,payment,2026-09-08T06:16:58Z,22.4,1,False
22,panoptes,currency,payment,2026-09-08T06:17:41Z,10.27,0,False
23,panoptes,currency,payment,2026-09-08T06:18:11Z,26.47,0,False
24,panoptes,currency,inconclusive,2026-09-08T06:18:58Z,300.0,0,True
25,panoptes,shipping,inconclusive,2026-09-08T06:24:21Z,300.0,0,True
26,panoptes,cart,inconclusive,2026-09-08T06:29:43Z,300.0,0,True
27,panoptes,payment,inconclusive,2026-09-08T06:35:05Z,300.0,0,True
28,panoptes,cart,inconclusive,2026-09-08T06:40:27Z,300.0,0,True
29,panoptes,payment,payment,2026-09-08T06:45:50Z,30.54,1,False
30,panoptes,shipping,payment,2026-09-08T06:46:41Z,18.33,0,False
