trial_id,scenario,ground_truth,diagnosed_target,t0_epoch,mttdiag_seconds,accuracy,censored
1,panoptes-4b,cart,inconclusive,2026-09-08T09:33:57Z,300.0,0,True
2,panoptes-4b,shipping,inconclusive,2026-09-08T09:39:19Z,300.0,0,True
3,panoptes-4b,currency,currency,2026-09-08T09:44:42Z,156.11,1,False
4,panoptes-4b,shipping,payment,2026-09-08T09:47:38Z,10.24,0,False
5,panoptes-4b,payment,payment,2026-09-08T09:48:09Z,10.27,1,False
6,panoptes-4b,cart,inconclusive,2026-09-08T09:48:39Z,300.0,0,True
7,panoptes-4b,shipping,inconclusive,2026-09-08T09:54:00Z,300.0,0,True
8,panoptes-4b,currency,inconclusive,2026-09-08T09:59:22Z,300.0,0,True
9,panoptes-4b,shipping,inconclusive,2026-09-08T10:04:43Z,300.0,0,True
10,panoptes-4b,currency,inconclusive,2026-09-08T10:10:04Z,300.0,0,True
11,panoptes-4b,currency,currency,2026-09-08T10:15:25Z,123.3,1,False
12,panoptes-4b,cart,payment,2026-09-08T10:17:49Z,10.27,0,False
13,panoptes-4b,shipping,payment,2026-09-08T10:18:19Z,10.26,0,False
14,panoptes-4b,payment,payment,2026-09-08T10:18:50Z,10.25,1,False
15,panoptes-4b,shipping,inconclusive,2026-09-08T10:19:20Z,300.0,0,True
16,panoptes-4b,currency,inconclusive,2026-09-08T10:24:42Z,300.0,0,True
17,panoptes-4b,shipping,inconclusive,2026-09-08T10:30:03Z,300.0,0,True
18,panoptes-4b,shipping,inconclusive,2026-09-08T10:35:25Z,300.0,0,True
19,panoptes-4b,cart,inconclusive,2026-09-08T10:40:46Z,300.0,0,True
20,panoptes-4b,shipping,cart,2026-09-08T10:46:08Z,87.1,0,False
21,panoptes-4b,payment,payment,2026-09-08T10:47:55Z,10.27,1,False
22,panoptes-4b,cart,payment,2026-09-08T10:48:26Z,10.26,0,False
23,panoptes-4b,payment,payment,2026-09-08T10:48:56Z,34.58,1,False
24,panoptes-4b,shipping,payment,2026-09-08T10:49:51Z,10.3,0,False
25,panoptes-4b,shipping,shipping,2026-09-08T10:50:22Z,26.55,1,False
26,panoptes-4b,shipping,inconclusive,2026-09-08T10:51:08Z,300.0,0,True
27,panoptes-4b,shipping,payment,2026-09-08T10:56:31Z,18.42,0,False
28,panoptes-4b,currency,inconclusive,2026-09-08T10:57:10Z,300.0,0,True
29,panoptes-4b,currency,inconclusive,2026-09-08T11:02:33Z,300.0,0,True
30,panoptes-4b,currency,inconclusive,2026-09-08T11:07:56Z,300.0,0,True
