sample_id,timestamp,total_cpu_millicores,total_memory_mib
1,2026-09-07T19:29:17.929793,763.0,3970.0
2,2026-09-07T19:29:22.982269,497.0,3896.0
3,2026-09-07T19:29:28.029495,497.0,3896.0
4,2026-09-07T19:29:33.086427,497.0,3896.0
5,2026-09-07T19:29:38.133721,495.0,3892.0
6,2026-09-07T19:29:43.180347,495.0,3892.0
7,2026-09-07T19:29:48.226794,495.0,3892.0
8,2026-09-07T19:29:53.270337,520.0,3948.0
9,2026-09-07T19:29:58.318509,520.0,3948.0
10,2026-09-07T19:30:03.367692,520.0,3948.0
11,2026-09-07T19:30:08.414098,534.0,3949.0
12,2026-09-07T19:30:13.457370,534.0,3949.0
13,2026-09-07T19:30:18.507055,534.0,3949.0
14,2026-09-07T19:30:23.551513,439.0,3894.0
15,2026-09-07T19:30:28.597463,439.0,3894.0
16,2026-09-07T19:30:33.643357,439.0,3894.0
17,2026-09-07T19:30:38.690727,598.0,3880.0
18,2026-09-07T19:30:43.740643,598.0,3880.0
19,2026-09-07T19:30:48.794123,598.0,3880.0
20,2026-09-07T19:30:53.852118,753.0,3893.0
21,2026-09-07T19:30:58.899460,753.0,3893.0
22,2026-09-07T19:31:03.944913,753.0,3893.0
23,2026-09-07T19:31:08.992593,629.0,3859.0
24,2026-09-07T19:31:14.050410,629.0,3859.0
25,2026-09-07T19:31:19.096362,629.0,3859.0
26,2026-09-07T19:31:24.154778,690.0,3932.0
27,2026-09-07T19:31:29.198734,690.0,3932.0
28,2026-09-07T19:31:34.243751,690.0,3932.0
29,2026-09-07T19:31:39.292750,719.0,3891.0
30,2026-09-07T19:31:44.340369,719.0,3891.0
