sample_id,timestamp,workload_cpu_millicores,workload_memory_mib,panoptes_cpu_millicores,panoptes_memory_mib,total_cluster_cpu_millicores,total_cluster_memory_mib
1,2026-09-08T04:05:57.092998,808.0,3728.0,150.0,2599.0,958.0,6327.0
2,2026-09-08T04:06:02.202592,808.0,3728.0,150.0,2599.0,958.0,6327.0
3,2026-09-08T04:06:07.331592,991.0,3689.0,187.0,2603.0,1178.0,6292.0
4,2026-09-08T04:06:12.493021,991.0,3689.0,187.0,2603.0,1178.0,6292.0
5,2026-09-08T04:06:17.628736,991.0,3689.0,187.0,2603.0,1178.0,6292.0
6,2026-09-08T04:06:22.744316,835.0,3728.0,134.0,2603.0,969.0,6331.0
7,2026-09-08T04:06:27.864898,835.0,3728.0,134.0,2603.0,969.0,6331.0
8,2026-09-08T04:06:32.982366,835.0,3728.0,134.0,2603.0,969.0,6331.0
9,2026-09-08T04:06:38.105320,853.0,3726.0,185.0,2596.0,1038.0,6322.0
10,2026-09-08T04:06:43.225131,853.0,3726.0,185.0,2596.0,1038.0,6322.0
11,2026-09-08T04:06:48.415741,853.0,3726.0,185.0,2596.0,1038.0,6322.0
12,2026-09-08T04:06:53.542413,877.0,3773.0,156.0,2598.0,1033.0,6371.0
13,2026-09-08T04:06:58.672313,877.0,3773.0,156.0,2598.0,1033.0,6371.0
14,2026-09-08T04:07:03.780892,877.0,3773.0,156.0,2598.0,1033.0,6371.0
15,2026-09-08T04:07:08.897539,603.0,3693.0,170.0,2599.0,773.0,6292.0
16,2026-09-08T04:07:14.060684,603.0,3693.0,170.0,2599.0,773.0,6292.0
17,2026-09-08T04:07:19.174688,603.0,3693.0,170.0,2599.0,773.0,6292.0
18,2026-09-08T04:07:24.270250,857.0,3722.0,160.0,2597.0,1017.0,6319.0
19,2026-09-08T04:07:29.429154,857.0,3722.0,160.0,2597.0,1017.0,6319.0
20,2026-09-08T04:07:34.528379,857.0,3722.0,160.0,2597.0,1017.0,6319.0
21,2026-09-08T04:07:39.633258,839.0,3688.0,213.0,2598.0,1052.0,6286.0
22,2026-09-08T04:07:44.742249,839.0,3688.0,213.0,2598.0,1052.0,6286.0
23,2026-09-08T04:07:49.871240,839.0,3688.0,213.0,2598.0,1052.0,6286.0
24,2026-09-08T04:07:54.964601,943.0,3710.0,159.0,2597.0,1102.0,6307.0
25,2026-09-08T04:08:00.066469,943.0,3710.0,159.0,2597.0,1102.0,6307.0
26,2026-09-08T04:08:05.164023,943.0,3710.0,159.0,2597.0,1102.0,6307.0
27,2026-09-08T04:08:10.275098,631.0,3702.0,150.0,2599.0,781.0,6301.0
28,2026-09-08T04:08:15.421320,631.0,3702.0,150.0,2599.0,781.0,6301.0
29,2026-09-08T04:08:20.543495,713.0,3694.0,138.0,2595.0,851.0,6289.0
30,2026-09-08T04:08:25.680298,713.0,3694.0,138.0,2595.0,851.0,6289.0
